"Identifier"	"Class"	"Order"	"Family"	"Genus"	"Species"	"Synonym"	"GSD_type"	"Sex_chromosome_karyotype"	"Size_difference"	"Larger_chromosome"	"Size_note"	"GSD_note"	"GSD_reference"	"TSD_type"	"TSD_type_detailed"	"Low_temperature_sex"	"Low_temperature_threshold"	"Intermediate_temperature_sex"	"High_temperature_sex"	"High_temperature_threshold"	"Thermal_sex_reversal_proven"	"TSD_note"	"TSD_reference"	"Sex_reversal_in_nature"	"Sex_reversal_reference"	"Polyploid"	"Polyploid_reference"	"Other_note"	"GSD_info_curated_by"	"TSD_info_curated_by"	"Taxonomy_reference"
"hsdA1.118"	"Amphibia"	"Anura"	"Ranidae"	"Rana"	"Rana kukunoris"		"XX/XY"						"[156]"																"VB"		"[5]"
"hsdA1.119"	"Amphibia"	"Anura"	"Ranidae"	"Rana"	"Rana latastei"		"XX/XY"						"[156]"																"VB"		"[5]"
"hsdA1.120"	"Amphibia"	"Anura"	"Ranidae"	"Rana"	"Rana montezumae"	"Lithobates montezumae"	"XX/XY"						"[156]"																"VB"		"[5]"
"hsdA1.121"	"Amphibia"	"Anura"	"Ranidae"	"Rana"	"Rana pipiens"	"Lithobates pipiens"	"XX/XY"	"homomorphic"					"[156], [407]"													"triploids may occur"	"[280]"		"EN, Tree of Sex database"		"[5]"
"hsdA1.122"	"Amphibia"	"Anura"	"Ranidae"	"Rana"	"Rana sakuraii"		"XX/XY"	"identified"				"not all populations are heteromorphic"	"[195], [234]"																"VB, EN"		"[5]"
"hsdA1.123"	"Amphibia"	"Anura"	"Ranidae"	"Rana"	"Rana sphenocephala"	"Lithobates sphenocephalus"	"XX/XY"						"[156]"																"EN"		"[5]"
"hsdA1.124"	"Amphibia"	"Anura"	"Ranidae"	"Rana"	"Rana sylvatica"	"Lithobates sylvaticus"	"XX/XY"						"[42]"	"FM ?"	"E-M"			"even"	"male"	"30"		"Threshold may be lower but sample sizes are too small."	"[198], [405]"						"EN"	"EN, VB"	"[5]"
"hsdA1.125"	"Amphibia"	"Anura"	"Ranidae"	"Rana"	"Rana tagoi"		"XX/XY"	"identified"					"[310]"																"Tree of Sex database"		"[5]"
"hsdA1.126"	"Amphibia"	"Anura"	"Ranidae"	"Rana"	"Rana tarahumarae"	"Lithobates tarahumarae"	"XX/XY"						"[156]"																"VB"		"[5]"
"hsdA1.127"	"Amphibia"	"Anura"	"Ranidae"	"Rana"	"Rana temporaria"		"XX/XY"	"homomorphic"					"[317], [326]"	"FM ?"	"F?-M"	"female?"	"10"	"even"	"male"	"25"		"High mortality at both low (10 degrees Celsius) and high (25 degrees Celsius) temperature in Piquet's study. The temperatures sometimes dropped below 10 degrees Celsius!"	"[285], [404]"	"XX males"	"[3]"			"supernumerary (B) chromosomes occur (Green & Sessions 1991 Amphibian Cytogenetics and Evolution: page 335)"	"EN, Tree of Sex database"	"EN, VB"	"[5]"
"hsdA1.128"	"Amphibia"	"Anura"	"Ranidae"	"Rana"	"Rana tsushimensis"		"XX/XY"	"homomorphic"					"[164]"																"Tree of Sex database"		"[5]"
"hsdA1.129"	"Amphibia"	"Anura"	"Ranidae"	"Rana"	"Rana yavapaiensis"	"Lithobates yavapaiensis"	"XX/XY"						"[156]"																"VB"		"[5]"
"hsdA1.130"	"Amphibia"	"Anura"	"Rhacophoridae"	"Buergeria"	"Buergeria buergeri"		"ZW/ZZ"	"identified"	"no"				"[130], [320]"																"EN, Tree of Sex database"		"[5]"
"hsdA1.131"	"Amphibia"	"Anura"	"Strabomantidae"	"Pristimantis"	"Pristimantis boconoensis"		"XX/XY"	"identified"			"Y is possibly involved in a centric (Robertsonian) fusion with an autosome"		"[328]"																"VB, EN"		"[5]"
"hsdA1.132"	"Amphibia"	"Anura"	"Strabomantidae"	"Pristimantis"	"Pristimantis curtipes"		"XX/XY"	"identified"			"Y is possibly involved in a centric (Robertsonian) fusion with an autosome"		"[328]"																"VB, EN"		"[5]"
"hsdA1.133"	"Amphibia"	"Anura"	"Strabomantidae"	"Pristimantis"	"Pristimantis duellmani"		"XX/XY"	"identified"			"Y is possibly involved in a centric (Robertsonian) fusion with an autosome"		"[328]"																"VB, EN"		"[5]"
"hsdA1.134"	"Amphibia"	"Anura"	"Strabomantidae"	"Pristimantis"	"Pristimantis euphronides"	"Eleutherodactylus euphronides"	"ZW/ZZ"	"identified"	"yes"	"W"	"W is giant"		"[331]"																"Tree of Sex database"		"[5]"
"hsdA1.135"	"Amphibia"	"Anura"	"Strabomantidae"	"Pristimantis"	"Pristimantis pulvinatus"		"XX/XY"	"identified"	"yes"	"Y"	"male individuals with a Y-autosome fusion coexist with males without the fusion"		"[328]"																"VB, EN"		"[5]"
"hsdA1.136"	"Amphibia"	"Anura"	"Strabomantidae"	"Pristimantis"	"Pristimantis riveroi"	"Eleutherodactylus riveroi"	"XX/XY"	"identified"	"yes"	"Y"	"male individuals with a Y-autosome fusion coexist with males without the fusion"		"[332]"																"EN, Tree of Sex database"		"[5]"
"hsdA1.137"	"Amphibia"	"Anura"	"Strabomantidae"	"Pristimantis"	"Pristimantis shrevei"	"Eleutherodactylus shrevei"	"ZW/ZZ"	"identified"	"yes"	"W"			"[368]"																"EN, Tree of Sex database"		"[5]"
"hsdA1.138"	"Amphibia"	"Anura"	"Strabomantidae"	"Pristimantis"	"Pristimantis unistrigatus"		"XX/XY"	"identified"			"Y is possibly involved in a centric (Robertsonian) fusion with an autosome"		"[328]"																"VB, EN"		"[5]"
"hsdA1.139"	"Amphibia"	"Anura"	"Strabomantidae"	"Strabomantis"	"Strabomantis biporcatus"	"Eleutherodactylus maussi"	"XX/XY"	"identified"	"yes"	"Y"	"male individuals with a Y-autosome fusion coexist with males without the fusion"		"[368]"																"EN"		"[5]"
"hsdA1.140"	"Amphibia"	"Caudata"	"Ambystomatidae"	"Ambystoma"	"Ambystoma jeffersonianum"		"ZW/ZZ"	"homomorphic"					"[280], [341]"															"supernumerary (B) chromosomes occur (Green & Sessions 1991 Amphibian Cytogenetics and Evolution: page 335)"	"VB, Tree of Sex database"		"[5]"
"hsdA1.141"	"Amphibia"	"Caudata"	"Ambystomatidae"	"Ambystoma"	"Ambystoma laterale"		"ZW/ZZ"	"identified"	"no"				"[117], [341]"													"triploids may occur"	"[29], [280], [386]"		"EN, Tree of Sex database"		"[5]"
"hsdA1.142"	"Amphibia"	"Caudata"	"Ambystomatidae"	"Ambystoma"	"Ambystoma mexicanum"		"ZW/ZZ"	"homomorphic"					"[145], [169]"																"EN, Tree of Sex database"		"[5]"
"hsdA1.143"	"Amphibia"	"Caudata"	"Ambystomatidae"	"Ambystoma"	"Ambystoma tigrinum"	"Ambystoma tigrinum tigrinum"	"ZW/ZZ"	"homomorphic"					"[56], [145], [362]"																"EN, Tree of Sex database"		"[5]"
"hsdA1.144"	"Amphibia"	"Caudata"	"Cryptobranchidae"	"Andrias"	"Andrias davidianus"		"ZW/ZZ"						"[143]"	"FM ?"	"E-M"			"even"	"male"	"28"		"Mortality rate also increased with temperature elevation, and at 30 degrees Celsius mortality was 100%."	"[144]"						"VB"	"EN, VB"	"[5]"
"hsdA1.145"	"Amphibia"	"Caudata"	"Hynobiidae"	"Hynobius"	"Hynobius hidamontanus"	"Hynobius tenuis"	"ZW/ZZ"	"identified"					"[148]"																"EN, Tree of Sex database"		"[5]"
"hsdA1.146"	"Amphibia"	"Caudata"	"Hynobiidae"	"Hynobius"	"Hynobius quelpaertensis"		"ZW/ZZ"	"identified"	"yes"	"W"	"W is much larger"		"[149]"																"EN, Tree of Sex database"		"[5]"
"hsdA1.147"	"Amphibia"	"Caudata"	"Hynobiidae"	"Hynobius"	"Hynobius retardatus"									"MF ?"	"E-F"	"even?"		"even"	"female"	"28"		"The lowest temperature tested by Sakata et al (2005) was 16 degrees Celsius. Female-to-male sex reversal by high temperatures was suggested based on sex ratios by Uchida 1937, as cited by Chardard et al. (2004) Thermal sex reversals in amphibians. In: Temperature-dependent sex determination in vertebrates. Pages 59-67."	"[313]"							"EN, VB"	"[5]"
"hsdA1.148"	"Amphibia"	"Caudata"	"Hynobiidae"	"Hynobius"	"Hynobius tokyoensis"		"ZW/ZZ"	"homomorphic"				"three haplotypes of W were identified"	"[194]"																"Tree of Sex database"		"[5]"
"hsdA1.149"	"Amphibia"	"Caudata"	"Plethodontidae"	"Aneides"	"Aneides ferreus"		"ZW/ZZ"	"identified"	"no"				"[170], [326], [335]"																"EN, Tree of Sex database"		"[5]"
"hsdA1.150"	"Amphibia"	"Caudata"	"Plethodontidae"	"Bolitoglossa"	"Bolitoglossa subpalmata"		"XX/XY"	"identified"	"yes"	"X"			"[176], [280], [326]"																"VB, EN"		"[5]"
"hsdA1.151"	"Amphibia"	"Caudata"	"Plethodontidae"	"Chiropterotriton"	"Chiropterotriton dimidiatus"		"ZW/ZZ"	"identified"	"no"			"pericentric inversion"	"[117], [342]"															"supernumerary (B) chromosomes occur (Green & Sessions 1991 Amphibian Cytogenetics and Evolution: page 335)"	"EN, Tree of Sex database"		"[5]"
"hsdA1.152"	"Amphibia"	"Caudata"	"Plethodontidae"	"Cryptotriton"	"Cryptotriton veraepacis"	"Nototriton veraepacis"	"XX/XY"	"identified"	"yes"	"X"			"[117], [342]"																"EN, Tree of Sex database"		"[5]"
"hsdA1.153"	"Amphibia"	"Caudata"	"Plethodontidae"	"Dendrotriton"	"Dendrotriton bromeliacius"	"Chiropterotriton bromeliaca"	"XX/XY"	"identified"	"yes"	"X"			"[117], [206]"																"EN, Tree of Sex database"		"[5]"
"hsdA1.154"	"Amphibia"	"Caudata"	"Plethodontidae"	"Dendrotriton"	"Dendrotriton cuchumatanus"	"Chiropterotriton cuchumatanus"	"XX/XY"	"identified"	"yes"	"X"			"[117], [206]"																"EN, Tree of Sex database"		"[5]"
"hsdA1.155"	"Amphibia"	"Caudata"	"Plethodontidae"	"Dendrotriton"	"Dendrotriton rabbi"	"Chiropterotriton rabbi"	"XX/XY"	"identified"	"yes"	"X"			"[206], [326]"															"supernumerary (B) chromosomes occur (Green & Sessions 1991 Amphibian Cytogenetics and Evolution: page 335)"	"EN, Tree of Sex database"		"[5]"
"hsdA1.156"	"Amphibia"	"Caudata"	"Plethodontidae"	"Dendrotriton"	"Dendrotriton xolocalcae"		"XX/XY"	"identified"			"no info on size difference in Hillis & Green (1990)"		"[342]"																"Tree of Sex database"		"[5]"
"hsdA1.157"	"Amphibia"	"Caudata"	"Plethodontidae"	"Hydromantes"	"Hydromantes ambrosii"	"Speleomantes ambrosii"	"XX/XY"	"identified"	"no"			"pericentric inversion was hypothesised"	"[243]"																"EN, Tree of Sex database"		"[5]"
"hsdA1.158"	"Amphibia"	"Caudata"	"Plethodontidae"	"Hydromantes"	"Hydromantes flavus"	"Speleomantes flavus"	"XX/XY"	"identified"	"no"			"pericentric inversion was hypothesised"	"[243]"																"EN, Tree of Sex database"		"[5]"
"hsdA1.159"	"Amphibia"	"Caudata"	"Plethodontidae"	"Hydromantes"	"Hydromantes genei"	"Speleomantes genei"	"XX/XY"						"[176], [280]"																"VB"		"[5]"
"hsdA1.160"	"Amphibia"	"Caudata"	"Plethodontidae"	"Hydromantes"	"Hydromantes imperialis"	"Speleomantes imperialis"	"XX/XY"	"identified"	"no"			"pericentric inversion was hypothesised"	"[243]"																"EN, Tree of Sex database"		"[5]"
"hsdA1.161"	"Amphibia"	"Caudata"	"Plethodontidae"	"Hydromantes"	"Hydromantes italicus"		"XX/XY"	"identified"	"no"			"pericentric inversion was hypothesised"	"[243]"																"EN, Tree of Sex database"		"[5]"
"hsdA1.162"	"Amphibia"	"Caudata"	"Plethodontidae"	"Hydromantes"	"Hydromantes supramontis"	"Speleomantes supramontis"	"XX/XY"						"[280], [343]"																"VB"		"[5]"
"hsdA1.163"	"Amphibia"	"Caudata"	"Plethodontidae"	"Nototriton"	"Nototriton abscondens"	"Chiropterotriton abscondens"	"XX/XY"	"identified"	"yes"	"X"			"[176], [326]"																"VB, EN"		"[5]"
"hsdA1.164"	"Amphibia"	"Caudata"	"Plethodontidae"	"Nototriton"	"Nototriton picadoi"		"XX/XY"	"identified"	"yes"	"X"			"[117]"															"supernumerary (B) chromosomes occur (Green & Sessions 1991 Amphibian Cytogenetics and Evolution: page 335)"	"EN, Tree of Sex database"		"[5]"
"hsdA1.165"	"Amphibia"	"Caudata"	"Plethodontidae"	"Nototriton"	"Nototriton richardi"		"XX/XY"	"identified"	"yes"	"X"			"[117]"																"EN"		"[5]"
"hsdA1.166"	"Amphibia"	"Caudata"	"Plethodontidae"	"Oedipina"	"Oedipina altura"		"XX/XY"	"identified"	"yes"	"X"			"[117], [171]"																"EN"		"[5]"
"hsdA1.167"	"Amphibia"	"Caudata"	"Plethodontidae"	"Oedipina"	"Oedipina cyclocauda"		"XX/XY"						"[171]"																"EN"		"[5]"
"hsdA1.168"	"Amphibia"	"Caudata"	"Plethodontidae"	"Oedipina"	"Oedipina ignea"		"XX/XY"	"identified"	"yes"	"X"			"[117], [171]"																"EN"		"[5]"
"hsdA1.169"	"Amphibia"	"Caudata"	"Plethodontidae"	"Oedipina"	"Oedipina parvipes"		"XX/XY"	"identified"	"yes"	"X"			"[117], [171], [342]"																"EN, Tree of Sex database"		"[5]"
"hsdA1.170"	"Amphibia"	"Caudata"	"Plethodontidae"	"Oedipina"	"Oedipina poelzi"		"XX/XY"	"identified"	"yes"	"X"			"[117], [206]"															"supernumerary (B) chromosomes occur (Green & Sessions 1991 Amphibian Cytogenetics and Evolution: page 335)"	"EN, Tree of Sex database"		"[5]"
"hsdA1.171"	"Amphibia"	"Caudata"	"Plethodontidae"	"Oedipina"	"Oedipina pseudouniformis"		"XX/XY"	"identified"	"yes"	"X"			"[117], [171]"																"EN"		"[5]"
"hsdA1.172"	"Amphibia"	"Caudata"	"Plethodontidae"	"Oedipina"	"Oedipina uniformis"		"XX/XY"	"identified"	"yes"	"X"			"[117], [206]"															"supernumerary (B) chromosomes occur (Green & Sessions 1991 Amphibian Cytogenetics and Evolution: page 335)"	"EN, Tree of Sex database"		"[5]"
"hsdA1.173"	"Amphibia"	"Caudata"	"Plethodontidae"	"Thorius"	"Thorius dubitus"		"XX/XY"	"identified"	"yes"	"X"			"[117], [206]"															"supernumerary (B) chromosomes occur (Green & Sessions 1991 Amphibian Cytogenetics and Evolution: page 335)"	"EN, Tree of Sex database"		"[5]"
"hsdA1.174"	"Amphibia"	"Caudata"	"Plethodontidae"	"Thorius"	"Thorius pennatulus"		"XX/XY"	"identified"	"yes"	"X"			"[117], [206]"															"supernumerary (B) chromosomes occur (Green & Sessions 1991 Amphibian Cytogenetics and Evolution: page 335)"	"EN, Tree of Sex database"		"[5]"
"hsdA1.175"	"Amphibia"	"Caudata"	"Proteidae"	"Necturus"	"Necturus alabamensis"		"XX/XY"	"identified"	"yes"	"X"			"[117], [344]"																"EN, Tree of Sex database"		"[5]"
"hsdA1.176"	"Amphibia"	"Caudata"	"Proteidae"	"Necturus"	"Necturus beyeri"		"XX/XY"	"identified"	"yes"	"X"			"[117], [344]"																"EN, Tree of Sex database"		"[5]"
"hsdA1.177"	"Amphibia"	"Caudata"	"Proteidae"	"Necturus"	"Necturus lewisi"		"XX/XY"	"identified"	"yes"	"X"			"[117], [344]"																"EN, Tree of Sex database"		"[5]"
"hsdA1.178"	"Amphibia"	"Caudata"	"Proteidae"	"Necturus"	"Necturus maculosus"		"XX/XY"	"identified"	"yes"	"X"	"Y is very small"		"[117], [340], [344]"																"Tree of Sex database"		"[5]"
"hsdA1.179"	"Amphibia"	"Caudata"	"Proteidae"	"Necturus"	"Necturus punctatus"		"XX/XY"	"identified"	"yes"	"X"			"[117], [344]"																"EN, Tree of Sex database"		"[5]"
"hsdA1.180"	"Amphibia"	"Caudata"	"Salamandridae"	"Ichthyosaura"	"Ichthyosaura alpestris"	"Triturus alpestris"	"XX/XY"	"identified"	"no"				"[217], [326], [334]"	"TSD uncertain"	"TSD uncertain"							"The most female-biased larval sex ratio was found in the warmest of seven ponds: 25 females and 13 males (marginally non-significant sex-ratio bias), the authors concluded no temperature-dependence."	"[316]"						"EN, Tree of Sex database"	"EN, VB"	"[5]"
"hsdA1.181"	"Amphibia"	"Caudata"	"Salamandridae"	"Lissotriton"	"Lissotriton boscai"	"Triturus boscai"	"XX/XY"						"[176], [280]"																"VB"		"[5]"
"hsdA1.182"	"Amphibia"	"Caudata"	"Salamandridae"	"Lissotriton"	"Lissotriton helveticus"	"Triturus helveticus"	"XX/XY"	"identified"	"no"				"[117], [217], [334]"																"EN, Tree of Sex database"		"[5]"
"hsdA1.183"	"Amphibia"	"Caudata"	"Salamandridae"	"Lissotriton"	"Lissotriton italicus"	"Triturus italicus"	"XX/XY"	"identified"	"no"				"[220], [326]"																"EN, Tree of Sex database"		"[5]"
"hsdA1.184"	"Amphibia"	"Caudata"	"Salamandridae"	"Lissotriton"	"Lissotriton vulgaris"	"Triturus vulgaris"	"XX/XY"	"identified"	"no"				"[334]"																"EN, Tree of Sex database"		"[5]"
"hsdA1.185"	"Amphibia"	"Caudata"	"Salamandridae"	"Pleurodeles"	"Pleurodeles poireti"		"ZW/ZZ"	"identified"	"no"			"loop patterns in lamp-brush chromosomes differ between males and females"	"[117], [197]"	"MF ?"	"E-F"			"even"	"female"	"30"	"yes"	"Sex ratio in hybrids between P. watl and P. poireti is not temperature-sensitive."	"[66], [70]"						"EN, Tree of Sex database"	"EN, VB"	"[5]"
"hsdA1.186"	"Amphibia"	"Caudata"	"Salamandridae"	"Pleurodeles"	"Pleurodeles waltl"		"ZW/ZZ"	"identified"	"no"			"loop patterns in lamp-brush chromosomes differ between males and females"	"[117], [196]"	"FM ?"	"E-M"	"even"		"even"	"male"	"30"	"yes"	"Sex ratio in hybrids between P. watl and P. poireti is not temperature-sensitive."	"[66], [67], [68], [69], [396]"						"EN, Tree of Sex database"	"EN, VB"	"[5]"
"hsdA1.187"	"Amphibia"	"Caudata"	"Salamandridae"	"Triturus"	"Triturus carnifex"	"Triturus cristatus carnifex"	"XX/XY"						"[217], [397]"	"FM"	"F-M"	"female"	"13"	"even"	"male"	"28"	"yes"		"[396]"						"EN"	"EN, VB"	"[5]"
"hsdA1.188"	"Amphibia"	"Caudata"	"Salamandridae"	"Triturus"	"Triturus cristatus"		"XX/XY"	"identified"	"no"				"[117], [323]"	"FM"	"F-M"	"female"	"16"	"even"	"male"	"28"	"yes"		"[396]"						"EN, Tree of Sex database"	"EN, VB"	"[5]"
"hsdA1.189"	"Amphibia"	"Caudata"	"Salamandridae"	"Triturus"	"Triturus dobrogicus"		"XX/XY"						"[217]"																"EN"		"[5]"
"hsdA1.190"	"Amphibia"	"Caudata"	"Salamandridae"	"Triturus"	"Triturus karelinii"		"XX/XY"						"[176], [280]"																"VB"		"[5]"
"hsdA1.191"	"Amphibia"	"Caudata"	"Salamandridae"	"Triturus"	"Triturus marmoratus"		"XX/XY"	"identified"	"no"				"[117], [136]"																"EN, Tree of Sex database"		"[5]"
"hsdA1.192"	"Amphibia"	"Caudata"	"Salamandridae"	"Triturus"	"Triturus pygmaeus"	"Triturus marmoratus pygmaeus"	"XX/XY"	"identified"	"no"			"chromosome pair 4"	"[91], [217]"																"EN"		"[5]"
"hsdA1.193"	"Amphibia"	"Gymnophiona"	"Grandisoniidae"	"Gegeneophis"	"Gegeneophis ramaswamii"		"XX/XY"	"identified"					"[113]"																"EN, Tree of Sex database"		"[5]"
"hsdA1.194"	"Amphibia"	"Gymnophiona"	"Grandisoniidae"	"Indotyphlus"	"Indotyphlus battersbyi"		"XX/XY"	"identified"	"yes"	"X"			"[388]"																"VB, EN"		"[5]"
"hsdA1.195"	"Reptilia"	"Crocodylia"	"Alligatoridae"	"Alligator"	"Alligator mississippiensis"									"FMF"	"F-M-F"	"female"	"31.7"	"male"	"female"	"35.9"			"[98]"							"VB, Tree of Sex database"	"[383]"
"hsdA1.196"	"Reptilia"	"Crocodylia"	"Alligatoridae"	"Alligator"	"Alligator sinensis"									"FM ?"	"F?-M?"	"female?"		"male"				"33-35 degrees Celsius yielded 91% males (n=36), no sample size for low temperature (""ca. 28 degrees Celsius""); poor survival >36 degrees Celsius & <27 degrees Celsius"	"[201]"							"VB, Tree of Sex database"	"[383]"
"hsdA1.197"	"Reptilia"	"Crocodylia"	"Alligatoridae"	"Caiman"	"Caiman crocodilus"									"FMF"	"F-M-F"	"female"	"31.2"	"male"	"female"	"33.5"			"[98]"							"VB, Tree of Sex database"	"[383]"
"hsdA1.198"	"Reptilia"	"Crocodylia"	"Alligatoridae"	"Caiman"	"Caiman latirostris"									"FMF"	"F-M-F"	"female"	"31.6"	"male"	"female"	"33"			"[98]"							"VB, Tree of Sex database"	"[383]"
"hsdA1.199"	"Reptilia"	"Crocodylia"	"Alligatoridae"	"Caiman"	"Caiman yacare"									"FM"	"F-M"	"female"		"male"				"thresholds unclear due to missing sample-size information"	"[35], [283]"							"VB"	"[383]"
"hsdA1.200"	"Reptilia"	"Crocodylia"	"Alligatoridae"	"Paleosuchus"	"Paleosuchus trigonatus"									"FM"	"F-M"	"female"	"31.5"	"male"				">32 degrees Celsius was not tested"	"[218]"							"VB, Tree of Sex database"	"[383]"
"hsdA1.201"	"Reptilia"	"Crocodylia"	"Crocodylidae"	"Crocodylus"	"Crocodylus acutus"									"FMF"	"F-M-F"	"female"	"29.7"	"male"	"female"	"32.9"			"[98]"							"VB"	"[383]"
"hsdA1.202"	"Reptilia"	"Crocodylia"	"Crocodylidae"	"Crocodylus"	"Crocodylus johnstoni"	"Crocodylus johnsoni"								"FMF ?"	"F-E?-F"	"female"	"31.3"		"female"	"32.8"		"""FMF"" pattern but all sex ratios are female-biased"	"[98]"							"VB, Tree of Sex database"	"[383]"
"hsdA1.203"	"Reptilia"	"Crocodylia"	"Crocodylidae"	"Crocodylus"	"Crocodylus moreletii"									"FMF"	"F-M-F"	"female"		"male"	"female"	"33.5"		"too small sample size for identifying lower threshold (may be 30-32  degrees Celsius)"	"[98], [201]"							"VB, Tree of Sex database"	"[383]"
"hsdA1.204"	"Reptilia"	"Crocodylia"	"Crocodylidae"	"Crocodylus"	"Crocodylus niloticus"									"FM ?"	"F-M-E?"	"female"	"31.5"	"male"				"very small samples ≥ 34 degrees Celsius"	"[98]"							"VB, Tree of Sex database"	"[383]"
"hsdA1.205"	"Reptilia"	"Crocodylia"	"Crocodylidae"	"Crocodylus"	"Crocodylus palustris"									"FMF ?"	"F-M-F?"	"female"	"31.2"	"male"	"female?"	"33"		"marginally sign. female bias at 33 degrees Celsius (small sample)"	"[98]"							"VB, Tree of Sex database"	"[383]"
"hsdA1.206"	"Reptilia"	"Crocodylia"	"Crocodylidae"	"Crocodylus"	"Crocodylus porosus"									"FMF"	"F-M-F"	"female"	"30.6"	"male"	"female"	"33.3"			"[98]"							"VB, Tree of Sex database"	"[383]"
"hsdA1.207"	"Reptilia"	"Crocodylia"	"Crocodylidae"	"Crocodylus"	"Crocodylus siamensis"									"FM"	"F-M"	"female"	"32"	"male"				"At 32.5 (n=15) and 33 degrees Celsius (n=15),100% and 60% males were produced, respectively."	"[201]"							"VB, Tree of Sex database"	"[383]"
"hsdA1.208"	"Reptilia"	"Crocodylia"	"Gavialidae"	"Gavialis"	"Gavialis gangeticus"									"FMF ?"	"F?-M?-F?"	"female?"		"male?"	"female?"			"very low sample sizes"	"[98], [201]"							"VB, Tree of Sex database"	"[383]"
"hsdA1.209"	"Reptilia"	"Rhynchocephalia"	"Sphenodontidae"	"Sphenodon"	"Sphenodon punctatus"	"Sphenodon guntheri"								"FM"	"F-M"	"female"	"21"	"even"	"male"	"22"		"pivotal T differs between populations (21.6-22.0 degrees Celsius)"	"[231], [245]"					"Genetic studies indicate that Sphenodon punctatus and S. guntheri are best described as a single species."		"VB, Tree of Sex database"	"[383]"
"hsdA1.210"	"Reptilia"	"Squamata"	"Acrochordidae"	"Acrochordus"	"Acrochordus granulatus"		"ZW/ZZ"					"based on relative gene dosage"	"[308]"																"EN"		"[383]"
"hsdA1.211"	"Reptilia"	"Squamata"	"Agamidae"	"Agama"	"Agama agama"									"FM ?"	"F?-M?"							"According to Steele et al. (2018; https://doi.org/10.1111/jzo.12560) the species of Charnier's study is unclear, only two incubation temperatures were used and the study had a small sample size. Type 1b was suggested (El Mouden et al. 2001: Effects of Incubation Temperature on Embryonic Development and Sex Determination in the North African Agamid Lizard, Agama impalearis. Herpetological Journal 11: 101-108.)"	"[43]"							"VB, Tree of Sex database"	"[383]"
"hsdA1.212"	"Reptilia"	"Squamata"	"Agamidae"	"Agama"	"Agama bibronii"	"Agama impalearis"								"FMF"	"F-M-F"	"female"	"28"	"male"	"female"			"upper threshold may be 32 or 36 degrees Celsius"	"[76]"							"VB, Tree of Sex database"	"[383]"
"hsdA1.213"	"Reptilia"	"Squamata"	"Agamidae"	"Agama"	"Agama picticauda"									"FMF"	"F-M-F"	"female"	"28"	"male"	"even"	"32"			"[366], [367]"							"EN, VB"	"[383]"
"hsdA1.214"	"Reptilia"	"Squamata"	"Agamidae"	"Amphibolurus"	"Amphibolurus burnsi"	"Lophognathus burnsi"								"FM ?"	"F?-E?"	"female?"		"even?"	"even?"			"very small sample sizes"	"[134]"							"VB, Tree of Sex database"	"[383]"
"hsdA1.215"	"Reptilia"	"Squamata"	"Agamidae"	"Amphibolurus"	"Amphibolurus muricatus"							"Based on the occurrence of ovotestes during sexual development, existence of a GSD system was hypothesised (Whiteley et al. 2021. https://doi.org/10.1098/rspb.2020.2819)"	"[422]"	"FMF ?"	"F-E-F"	"female"	"26"	"even"	"female"	"32"			"[78], [134], [398]"						"EN"	"EN, VB, Tree of Sex database"	"[383]"
"hsdA1.216"	"Reptilia"	"Squamata"	"Agamidae"	"Calotes"	"Calotes versicolor"		"XX/XY or ZW/ZZ"					"ZW/ZZ system was assumed in India, while potential existence of both ZW/ZZ and XX/XY populations was suggested in Thaliand."	"[2], [403]"	"FMFM"	"F-M-F-M"	"female"	"23.5"	"complex"	"male"	"34"		"Large sample sizes across 14 temperatures between 22.5 degrees Celsius and 34 degrees Celsius suggest 'FMFM' reaction norm. 35 degrees Celsius is lethal, but mortality rate may be high at 33 degrees Celsius as well, possibly depending on population. The existence of both ZW/ZZ and XX/XY populations were suggested."	"[151], [158]"						"VB"	"EN, VB, Tree of Sex database"	"[383]"
"hsdA1.217"	"Reptilia"	"Squamata"	"Agamidae"	"Chlamydosaurus"	"Chlamydosaurus kingii"									"FM ?"	"F-M?"	"female"	"26"	"even"				"at 33±5 degrees Celsius zero males, 8 females and 4 unsexed individuals (died early), so high temperature yields either female-biased or even sex ratios"	"[134]"							"EN, VB, Tree of Sex database"	"[383]"
"hsdA1.218"	"Reptilia"	"Squamata"	"Agamidae"	"Ctenophorus"	"Ctenophorus decresii"									"FM ?"	"F-E?"	"female"	"26"	"even?"				"sample sizes too low above 27.5 degrees Celsius"	"[134]"							"EN, VB, Tree of Sex database"	"[383]"
"hsdA1.219"	"Reptilia"	"Squamata"	"Agamidae"	"Ctenophorus"	"Ctenophorus fordi"		"ZW/ZZ"	"identified"					"[83], [134]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.220"	"Reptilia"	"Squamata"	"Agamidae"	"Ctenophorus"	"Ctenophorus ornatus"									"TSD uncertain"	"TSD uncertain"							"the only info available is that no males hatched at 25 degrees Celsius"	"[134]"							"VB, Tree of Sex database"	"[383]"
"hsdA1.221"	"Reptilia"	"Squamata"	"Agamidae"	"Ctenophorus"	"Ctenophorus pictus"									"FM ?"	"F-E"	"female"	"28"	"even"				"for 30 and 32 degrees Celsius n=14 and 13, males 36% and 46% did not differ significantly from 1:1"	"[131]"							"EN, VB, Tree of Sex database"	"[383]"
